"DIMENSIONES","RADIO","VECINOS","TAMAÑO L","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"20","0.2","10","50","107809.03","45041.17","67333.78"
"20","0.2","10","100","92804.78","37572.00","66860.09"
"20","0.2","10","150","98835.42","44816.57","65115.97"
"20","0.2","20","50","95984.59","40325.97","67736.87"
"20","0.2","20","100","98266.47","47571.17","69079.59"
"20","0.2","20","150","101568.85","37849.24","69166.15"
"20","0.6","10","50","78399.67","30099.89","54936.24"
"20","0.6","10","100","82105.63","36604.10","58695.79"
"20","0.6","10","150","85965.30","38855.43","56923.44"
"20","0.6","20","50","80174.28","37914.50","55795.64"
"20","0.6","20","100","77738.33","26382.56","51740.17"
"20","0.6","20","150","74174.47","30523.52","54302.70"
"20","1.0","10","50","56545.98","22313.41","44253.44"
"20","1.0","10","100","72883.65","25740.67","49127.27"
"20","1.0","10","150","63772.19","25596.07","45716.15"
"20","1.0","20","50","75022.90","29277.56","46216.00"
"20","1.0","20","100","65413.96","29482.23","43928.09"
"20","1.0","20","150","68158.63","21741.14","42272.46"
"50","0.2","10","50","241418.37","129365.88","171252.46"
"50","0.2","10","100","200591.16","133491.20","173879.61"
"50","0.2","10","150","202206.89","123501.78","162495.82"
"50","0.2","20","50","191094.56","137967.75","164998.30"
"50","0.2","20","100","212942.97","126526.33","159994.80"
"50","0.2","20","150","229519.59","118192.23","169497.84"
"50","0.6","10","50","186735.20","112930.97","150492.59"
"50","0.6","10","100","178735.49","102049.08","144128.22"
"50","0.6","10","150","175642.29","114031.29","146325.19"
"50","0.6","20","50","174872.98","105481.59","143161.97"
"50","0.6","20","100","202176.78","123859.47","152772.21"
"50","0.6","20","150","209291.81","121879.34","148073.20"
"50","1.0","10","50","203054.87","99928.84","136215.44"
"50","1.0","10","100","167771.20","101988.59","133600.70"
"50","1.0","10","150","189751.60","97401.69","132953.71"
"50","1.0","20","50","169036.15","88383.19","131338.94"
"50","1.0","20","100","169415.53","95505.30","127980.43"
"50","1.0","20","150","162436.77","70249.38","128272.15"
"100","0.2","10","50","412311.57","268903.48","329230.78"
"100","0.2","10","100","380560.30","271491.63","328090.41"
"100","0.2","10","150","388950.35","262998.55","333120.11"
"100","0.2","20","50","409878.74","261282.54","328278.78"
"100","0.2","20","100","377426.43","294662.39","335675.23"
"100","0.2","20","150","377038.61","273145.65","325417.98"
"100","0.6","10","50","367327.28","249266.82","317068.90"
"100","0.6","10","100","361130.45","238761.63","304308.66"
"100","0.6","10","150","367668.59","247042.69","304788.10"
"100","0.6","20","50","349295.95","227309.44","298453.61"
"100","0.6","20","100","358077.71","264149.20","312809.02"
"100","0.6","20","150","373969.91","254785.61","305308.97"
"100","1.0","10","50","340389.82","239755.61","284034.75"
"100","1.0","10","100","338696.23","230978.67","285030.99"
"100","1.0","10","150","348053.03","217179.35","294657.78"
"100","1.0","20","50","328615.96","231855.79","282438.85"
"100","1.0","20","100","338432.69","222061.04","276937.26"
"100","1.0","20","150","344314.07","242115.48","283875.74"
