"FUNCION","DIMENSIONES","RADIO","VECINOS","TLISTA TABU","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"Sphere","20","0.2","10","50","29234.1436","15027.4612","24542.4475"
"Sphere","20","0.2","10","100","29096.6259","19744.7284","25517.7568"
"Sphere","20","0.2","10","150","31465.4305","20236.0572","25158.5882"
"Sphere","20","0.2","20","50","30239.7740","19013.2183","24937.3078"
"Sphere","20","0.2","20","100","30013.0798","21264.2861","26045.3127"
"Sphere","20","0.2","20","150","29855.4634","20879.3367","25260.1319"
"Sphere","20","0.6","10","50","32426.2159","20526.3628","25451.8338"
"Sphere","20","0.6","10","100","30410.9106","19459.1881","25962.0102"
"Sphere","20","0.6","10","150","30453.0793","16117.2892","25280.8264"
"Sphere","20","0.6","20","50","31217.9552","20643.5659","25276.6284"
"Sphere","20","0.6","20","100","30115.3671","19112.1512","25808.3543"
"Sphere","20","0.6","20","150","31360.1142","16843.2809","25853.5120"
"Sphere","20","1.0","10","50","31882.4857","18857.0160","25518.8240"
"Sphere","20","1.0","10","100","29781.8133","21511.1083","25508.2276"
"Sphere","20","1.0","10","150","28883.6043","17380.0838","24071.5427"
"Sphere","20","1.0","20","50","30486.3569","20722.5849","25158.0043"
"Sphere","20","1.0","20","100","29948.6442","15346.1955","24749.2557"
"Sphere","20","1.0","20","150","30424.3621","19084.6852","25522.1233"
"Sphere","50","0.2","10","50","105537.8983","83819.8828","97574.4728"
"Sphere","50","0.2","10","100","105440.6695","78472.3294","96823.2540"
"Sphere","50","0.2","10","150","109413.1051","84788.2099","99296.3179"
"Sphere","50","0.2","20","50","105402.9794","82610.7777","96907.5775"
"Sphere","50","0.2","20","100","106717.8407","86185.7052","97484.5926"
"Sphere","50","0.2","20","150","109596.9808","84886.8985","98249.2237"
"Sphere","50","0.6","10","50","112458.0454","83927.1727","98569.0133"
"Sphere","50","0.6","10","100","107494.1431","76564.0093","97252.5927"
"Sphere","50","0.6","10","150","108877.9994","83116.2514","98244.4553"
"Sphere","50","0.6","20","50","107089.6896","86856.8878","98258.6438"
"Sphere","50","0.6","20","100","110786.0771","85824.7089","97971.8376"
"Sphere","50","0.6","20","150","106763.2908","82564.0947","99403.2635"
"Sphere","50","1.0","10","50","105680.5101","89920.4783","98294.2940"
"Sphere","50","1.0","10","100","107713.5512","83571.3459","98202.6698"
"Sphere","50","1.0","10","150","108259.8866","89252.6552","100049.9828"
"Sphere","50","1.0","20","50","108050.1734","85904.6542","99206.8373"
"Sphere","50","1.0","20","100","106311.0060","87168.6111","97737.9432"
"Sphere","50","1.0","20","150","107157.6434","84455.6009","97711.5980"
"Sphere","100","0.2","10","50","251106.2597","210436.9597","238106.7302"
"Sphere","100","0.2","10","100","250994.1427","209457.1005","234003.2880"
"Sphere","100","0.2","10","150","249338.9122","217712.9619","235231.2964"
"Sphere","100","0.2","20","50","250933.1882","199717.7214","233152.5766"
"Sphere","100","0.2","20","100","250901.7084","203114.1978","234629.9404"
"Sphere","100","0.2","20","150","252878.7300","219342.9413","235180.3671"
"Sphere","100","0.6","10","50","253433.8729","210197.7123","235517.6332"
"Sphere","100","0.6","10","100","255518.7857","210264.6166","238546.5433"
"Sphere","100","0.6","10","150","250012.4924","209453.8446","234410.7709"
"Sphere","100","0.6","20","50","246993.2415","217642.5697","235856.8764"
"Sphere","100","0.6","20","100","248781.5483","221173.8508","235021.3024"
"Sphere","100","0.6","20","150","252477.6933","222199.0091","235786.1642"
"Sphere","100","1.0","10","50","247525.6320","219193.7835","236719.6537"
"Sphere","100","1.0","10","100","251411.2014","198746.0888","234865.1641"
"Sphere","100","1.0","10","150","253140.1019","220222.0670","237331.3560"
"Sphere","100","1.0","20","50","249551.1716","214684.0300","236365.9728"
"Sphere","100","1.0","20","100","251690.1882","215399.4398","236324.9999"
"Sphere","100","1.0","20","150","248129.5978","205035.5400","235347.3993"
"Schwefel","20","0.2","10","50","35880.5635","19642.6662","27821.1304"
"Schwefel","20","0.2","10","100","35519.5171","21467.3805","28190.0019"
"Schwefel","20","0.2","10","150","34883.1474","24296.6565","28908.4141"
"Schwefel","20","0.2","20","50","34707.8297","18985.0895","28396.3615"
"Schwefel","20","0.2","20","100","37670.6920","10637.5967","27159.7573"
"Schwefel","20","0.2","20","150","36566.0860","17577.2136","27526.1370"
"Schwefel","20","0.6","10","50","36556.7735","17734.5763","28215.1402"
"Schwefel","20","0.6","10","100","35012.0153","15848.5303","28356.9177"
"Schwefel","20","0.6","10","150","41059.0480","21380.5190","27658.0389"
"Schwefel","20","0.6","20","50","36937.3934","19801.2940","27841.1017"
"Schwefel","20","0.6","20","100","37060.7727","18449.3870","27589.4333"
"Schwefel","20","0.6","20","150","33861.1627","19166.9952","28479.4716"
"Schwefel","20","1.0","10","50","41399.3951","15433.2296","27411.3862"
"Schwefel","20","1.0","10","100","32880.7344","17994.8878","27713.4073"
"Schwefel","20","1.0","10","150","34714.3656","18230.4496","27952.4403"
"Schwefel","20","1.0","20","50","38029.0323","14508.6606","27558.6769"
"Schwefel","20","1.0","20","100","36996.3241","12665.4552","27776.0549"
