"FUNCION","DIMENSIONES","RADIO","VECINOS","TLISTA TABU","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"Sphere","20","0.2","10","50","93843.8473","50298.4919","69056.0132"
"Sphere","20","0.2","10","100","104123.2154","29766.2490","71173.6989"
"Sphere","20","0.2","10","150","80516.1438","51838.2985","66411.8519"
"Sphere","20","0.2","20","50","89115.4548","46274.6698","66269.5390"
"Sphere","20","0.2","20","100","82656.9507","44620.0659","64792.0407"
"Sphere","20","0.2","20","150","86111.7972","39207.7577","63130.3477"
"Sphere","20","0.6","10","50","23614.2483","1865.1232","11688.4046"
"Sphere","20","0.6","10","100","23426.8836","1936.9173","12052.2875"
"Sphere","20","0.6","10","150","24868.3474","2953.7058","11436.7212"
"Sphere","20","0.6","20","50","17770.3154","975.4455","6977.1616"
"Sphere","20","0.6","20","100","27619.0485","504.7753","6754.5495"
"Sphere","20","0.6","20","150","24425.6989","321.4570","8703.9065"
"Sphere","20","1.0","10","50","241.3432","5.3334","20.0078"
"Sphere","20","1.0","10","100","120.6745","3.9383","19.9558"
"Sphere","20","1.0","10","150","29.5422","4.1152","12.0122"
"Sphere","20","1.0","20","50","13.9315","5.2558","8.9018"
"Sphere","20","1.0","20","100","14.8505","3.0721","9.8055"
"Sphere","20","1.0","20","150","13.6128","5.0895","9.0893"
"Sphere","50","0.2","10","50","211208.0010","121354.3148","169309.5664"
"Sphere","50","0.2","10","100","213136.9328","133455.5877","168375.7699"
"Sphere","50","0.2","10","150","200529.4024","120517.8975","165910.0865"
"Sphere","50","0.2","20","50","206752.5708","114921.0731","166761.9141"
"Sphere","50","0.2","20","100","233577.9061","126558.1290","170024.2867"
"Sphere","50","0.2","20","150","195848.6177","133007.6366","162138.7473"
"Sphere","50","0.6","10","50","109393.0482","28901.0505","63292.8677"
"Sphere","50","0.6","10","100","108032.0210","52122.8299","71300.8194"
"Sphere","50","0.6","10","150","102708.7175","40840.8192","69020.1278"
"Sphere","50","0.6","20","50","82851.4416","25790.7688","57770.3614"
"Sphere","50","0.6","20","100","104990.4661","17658.8771","53635.5214"
"Sphere","50","0.6","20","150","98712.3261","36252.1342","56383.1575"
"Sphere","50","1.0","10","50","32302.6171","4130.2422","15038.2120"
"Sphere","50","1.0","10","100","47235.4399","3988.9559","17968.0528"
"Sphere","50","1.0","10","150","26806.9930","4008.0057","14973.6926"
"Sphere","50","1.0","20","50","25134.1969","2485.8953","9119.5627"
"Sphere","50","1.0","20","100","25349.0148","1660.4786","9589.3210"
"Sphere","50","1.0","20","150","32174.8766","3329.2696","11761.2817"
"Sphere","100","0.2","10","50","385082.4802","252794.4602","316999.9632"
"Sphere","100","0.2","10","100","362606.5785","264203.7879","308731.6170"
"Sphere","100","0.2","10","150","395614.5720","261298.5993","318018.3977"
"Sphere","100","0.2","20","50","364108.1305","263355.9543","309258.9014"
"Sphere","100","0.2","20","100","375209.3219","258865.8653","310776.2052"
"Sphere","100","0.2","20","150","399124.2844","266131.6557","313194.1312"
"Sphere","100","0.6","10","50","250189.3838","149795.2149","197822.9178"
"Sphere","100","0.6","10","100","249175.6441","144278.6654","205216.9322"
"Sphere","100","0.6","10","150","283251.3306","155204.2880","210719.5099"
"Sphere","100","0.6","20","50","289474.8836","153835.5386","191372.2701"
"Sphere","100","0.6","20","100","283707.0150","129373.3969","186128.0227"
"Sphere","100","0.6","20","150","261107.0540","145422.2233","188706.4179"
"Sphere","100","1.0","10","50","161889.9129","65598.5747","110790.9627"
"Sphere","100","1.0","10","100","150799.7128","64370.8491","109292.7937"
"Sphere","100","1.0","10","150","144214.0660","73869.7927","113498.1116"
"Sphere","100","1.0","20","50","135832.2962","58689.8895","88450.8000"
"Sphere","100","1.0","20","100","130315.6432","59601.6854","94318.0754"
"Sphere","100","1.0","20","150","129605.5359","63432.3330","91779.8403"
"Schwefel","20","0.2","10","50","3398803.3090","84664.4410","648674.6808"
"Schwefel","20","0.2","10","100","2074167.8835","44960.9038","550405.8392"
"Schwefel","20","0.2","10","150","2962887.8041","87714.2119","803515.5784"
"Schwefel","20","0.2","20","50","2623905.2288","90370.3189","592147.6095"
"Schwefel","20","0.2","20","100","5549168.1268","36892.0101","583638.0833"
"Schwefel","20","0.2","20","150","6305486.8536","89728.7858","745643.9308"
"Schwefel","20","0.6","10","50","269121.9609","5344.0201","38123.9733"
"Schwefel","20","0.6","10","100","269118.3999","5849.7400","42121.9170"
"Schwefel","20","0.6","10","150","905054.4926","6717.4098","77134.0028"
"Schwefel","20","0.6","20","50","146840.8903","1499.0441","18275.2413"
"Schwefel","20","0.6","20","100","45495.9440","1658.9394","13392.0661"
"Schwefel","20","0.6","20","150","423358.6145","2719.1618","31174.3300"
"Schwefel","20","1.0","10","50","3622.4801","410.6253","1514.2598"
"Schwefel","20","1.0","10","100","9148.7798","427.7150","1985.2004"
"Schwefel","20","1.0","10","150","9344.9052","237.7006","2202.5393"
"Schwefel","20","1.0","20","50","4391.3683","313.2420","1078.5826"
"Schwefel","20","1.0","20","100","2827.0669","199.7654","919.2703"
"Schwefel","20","1.0","20","150","2953.9772","209.2566","1034.5740"
"Schwefel","50","0.2","10","50","14045124.2974","218324.8882","2960675.7580"
"Schwefel","50","0.2","10","100","37868807.0158","235481.2782","4334547.4866"
"Schwefel","50","0.2","10","150","14903074.5475","241343.5446","4632161.3911"
"Schwefel","50","0.2","20","50","17313523.2367","380729.3685","4351030.2792"
"Schwefel","50","0.2","20","100","22525620.8110","307347.3334","4762562.2456"
"Schwefel","50","0.2","20","150","14684062.1104","234825.3474","4178264.0103"
"Schwefel","50","0.6","10","50","1905668.2087","67743.1757","345594.0173"
"Schwefel","50","0.6","10","100","2301907.7907","77805.9959","524107.6219"
"Schwefel","50","0.6","10","150","18232070.3818","73923.4243","1985510.9608"
"Schwefel","50","0.6","20","50","16553678.8259","73845.7535","1517930.4180"
"Schwefel","50","0.6","20","100","6193961.7018","56106.4098","626986.9382"
"Schwefel","50","0.6","20","150","5760199.8560","64813.7871","1193219.5026"
"Schwefel","50","1.0","10","50","152568.6629","33919.6864","67372.0854"
"Schwefel","50","1.0","10","100","202908.3368","24990.0405","64959.7106"
"Schwefel","50","1.0","10","150","508266.7057","27086.5920","67828.6683"
"Schwefel","50","1.0","20","50","112149.5417","22059.8201","43508.2035"
"Schwefel","50","1.0","20","100","66619.1349","23254.8600","39124.5051"
"Schwefel","50","1.0","20","150","296667.1874","20495.9264","52947.8693"
